model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../../1_rigidbody/rigidbody_8.pdb	-	1	-29.380	0.000	1.000	0.000	0.000	1.000	0.000	-	-	-	948.127	1343.950	3236.220	1102.770	0.000	0.000	0.000	-27.555	1111.400	-0.483	2337.840	0.000	0.000	0.000	968.006	20.362	0.000	0.000
../../1_rigidbody/rigidbody_30.pdb	-	2	-28.862	11.640	0.107	21.982	21.156	0.085	12.973	-	-	-	1398.720	1343.950	3236.200	1026.890	0.000	0.000	0.000	-29.816	1111.400	-2.939	2337.840	0.000	0.000	0.000	1413.210	17.428	0.000	0.000
../../1_rigidbody/rigidbody_26.pdb	-	3	-28.400	9.320	0.071	18.414	16.859	0.091	9.835	-	-	-	1334.460	1343.960	3236.190	1106.520	0.000	0.000	0.000	-28.411	1111.400	-2.864	2337.840	0.000	0.000	0.000	1391.160	59.562	0.000	0.000
../../1_rigidbody/rigidbody_38.pdb	-	4	-28.243	0.161	0.964	0.546	0.360	0.983	0.219	-	-	-	1131.830	1343.960	3236.200	1091.080	0.000	0.000	0.000	-28.415	1111.400	-0.822	2337.840	0.000	0.000	0.000	1189.660	58.653	0.000	0.000
../../1_rigidbody/rigidbody_22.pdb	-	5	-28.075	4.330	0.286	17.043	12.401	0.197	5.632	-	-	-	1374.010	1343.950	3236.210	1082.530	0.000	0.000	0.000	-29.486	1111.400	-1.557	2337.840	0.000	0.000	0.000	1377.710	5.262	0.000	0.000
../../1_rigidbody/rigidbody_34.pdb	-	6	-26.857	11.701	0.107	21.937	21.183	0.085	13.031	-	-	-	1527.110	1343.960	3236.200	1038.430	0.000	0.000	0.000	-29.244	1111.400	-2.558	2337.840	0.000	0.000	0.000	1530.290	5.743	0.000	0.000
../../1_rigidbody/rigidbody_9.pdb	-	7	-26.374	7.053	0.214	21.021	15.982	0.133	8.754	-	-	-	1446.250	1343.960	3236.200	1201.820	0.000	0.000	0.000	-29.481	1111.400	0.540	2337.840	0.000	0.000	0.000	1459.060	12.274	0.000	0.000
../../1_rigidbody/rigidbody_21.pdb	-	8	-26.262	0.123	0.964	0.417	0.292	0.985	0.160	-	-	-	1537.770	1343.960	3236.180	1143.670	0.000	0.000	0.000	-30.053	1111.400	-0.685	2337.840	0.000	0.000	0.000	1590.700	53.620	0.000	0.000
../../1_rigidbody/rigidbody_32.pdb	-	9	-26.035	0.801	0.786	3.633	2.598	0.803	1.104	-	-	-	733.584	1343.960	3236.210	1069.590	0.000	0.000	0.000	-22.801	1111.400	0.058	2337.840	0.000	0.000	0.000	740.487	6.845	0.000	0.000
../../1_rigidbody/rigidbody_11.pdb	-	10	-26.018	0.256	0.964	0.541	0.543	0.977	0.258	-	-	-	1514.240	1343.960	3236.200	1141.400	0.000	0.000	0.000	-28.691	1111.400	-1.577	2337.840	0.000	0.000	0.000	1564.790	52.123	0.000	0.000
